shoeSize,country,continent
8.421259842519685,UnitedStates,North America
7.633858267716533,Serbia,Europe
8.421259842519685,Canada,North America
7.633858267716533,Russia,Asia
9.996062992125985,India,Asia
7.633858267716533,Slovakia,Europe
6.059055118110237,Austria,Europe
9.996062992125985,Romania,Europe
11.5,Bosnia and Herzegovina,Europe
11,Canada,North America
12,Brazil,South America
11,Spain,Europe
5.271653543307085,UnitedStates,North America
7.633858267716533,Estonia,Europe
7.633858267716533,UnitedKingdom,Europe
7.633858267716533,Russia,Asia
6.846456692913385,Romania,Europe
7.633858267716533,Germany,Europe
7.633858267716533,Russia,Asia
11,Belgium,Europe
10,Australia,Oceania
9.5,UnitedStates,North America
9.208661417322833,UnitedStates,North America
9.996062992125985,Costa Rica,North America
7.633858267716533,Canada,North America
14,UnitedStates,North America
8.421259842519685,UnitedStates,North America
8.421259842519685,Dominican Republic,North America
3,Philippines,Asia
11,UnitedKingdom,Europe
10,UnitedStates,North America
7.5,UnitedStates,North America
8.421259842519685,Somalia,Africa
7.240157480314959,France,Europe
6.059055118110237,Indonesia,Asia
12,UnitedStates,North America
9.208661417322833,Australia,Oceania
7.5,Brazil,South America
7.633858267716533,Austria,Europe
6.059055118110237,Denmark,Europe
7.633858267716533,Japan,Asia
9.208661417322833,Canada,North America
10,France,Europe
6.846456692913385,Germany,Europe
9.5,UnitedStates,North America
8.5,UnitedStates,North America
8.421259842519685,Namibia,Africa
9,Netherlands,Europe
8.81496063,India,Asia
8.421259842519685,Spain,Europe
11,UnitedStates,North America
10,UnitedStates,North America
9.5,UnitedStates,North America
8.421259842519685,Australia,Oceania
7.5,UnitedStates,North America
8.421259842519685,Australia,Oceania
8,Brazil,South America
7.633858267716533,France,Europe
7.633858267716533,Israel,Asia
6.5,UnitedKingdom,Europe
8.421259842519685,France,Europe
8.421259842519685,Brazil,South America
6.846456692913385,Italy,Europe
9.208661417322833,Germany,Europe
9.208661417322833,France,Europe
7.633858267716533,Dominican Republic,North America
10.5,Brazil,South America
10,Iran,Asia
8.81496063,UnitedStates,North America
7.633858267716533,Brazil,South America
6.059055118110237,France,Europe
6.846456692913385,South Africa,Africa
8.027559055118111,UnitedKingdom,Europe
9.996062992125985,Colombia,South America
11.5,UnitedStates,North America
8.5,Canada,North America
7.633858267716533,Denmark,Europe
7.240157480314959,Brazil,South America
7.633858267716533,Sweden,Europe
9.602362204724407,UnitedStates,North America
5.5,UnitedStates,North America
10,Australia,Oceania
6.846456692913385,France,Europe
7.633858267716533,Bahrain,Asia
8.421259842519685,Argentina,South America
7,UnitedStates,North America
9.208661417322833,Serbia,Europe
7.633858267716533,Russia,Asia
7.633858267716533,Poland,Europe
11.96456692913386,UnitedKingdom,Europe
7.5,UnitedStates,North America
7.5,UnitedStates,North America
8.421259842519685,Czech Republic,Europe
8.421259842519685,UnitedStates,North America
7.633858267716533,Ukraine,Europe
6,Bosnia and Herzegovina,Europe
8.421259842519685,Netherlands,Europe
8.421259842519685,China,Asia
11,UnitedKingdom,Europe
7,UnitedStates,North America
9.208661417322833,Brazil,South America
5,Australia,Oceania
6.846456692913385,Brazil,South America
9.208661417322833,Brazil,South America
5,UnitedKingdom,Europe
7,Lithuania,Europe
9,Italy,Europe
7.633858267716533,UnitedKingdom,Europe
7.633858267716533,Mexico,North America
7.633858267716533,Sweden,Europe
8.421259842519685,Brazil,South America
9,UnitedKingdom,Europe
9.208661417322833,UnitedStates,North America
9.5,Malta,Europe
7.633858267716533,Hungary,Europe
8.421259842519685,UnitedStates,North America
7.633858267716533,France,Europe
11.177165354330711,Kazakhstan,Asia
9.208661417322833,Russia,Asia
7.633858267716533,UnitedKingdom,Europe
6.059055118110237,Italy,Europe
12.35826771653543,Brazil,South America
7.633858267716533,Denmark,Europe
7.240157480314959,Norway,Europe
12.35826771653543,Germany,Europe
11.570866141732282,Iran,Asia
67.47637795275591,Iran,Asia
8.81496063,China,Asia
9.996062992125985,Argentina,South America
6.846456692913385,UnitedKingdom,Europe
7.633858267716533,Australia,Oceania
8.421259842519685,Australia,Oceania
9.208661417322833,South Africa,Africa
9.208661417322833,Serbia,Europe
7.633858267716533,UnitedStates,North America
5.271653543307085,Russia,Asia
9.208661417322833,Brazil,South America
9.996062992125985,Latvia,Europe
8.421259842519685,France,Europe
7.633858267716533,Brazil,South America
9.996062992125985,Canada,North America
9.208661417322833,UnitedStates,North America
-5.358267717,Japan,Asia
6,UnitedStates,North America
12,UnitedStates,North America
8.027559055118111,France,Europe
9.208661417322833,Belgium,Europe
7,UnitedStates,North America
10,UnitedKingdom,Europe
8.421259842519685,Germany,Europe
6.846456692913385,China,Asia
5.271653543307085,UnitedStates,North America
12,UnitedStates,North America
7.633858267716533,Tunisia,Africa
8.421259842519685,Netherlands,Europe
7.633858267716533,Latvia,Europe
10,UnitedStates,North America
7,Romania,Europe
9.996062992125985,Uzbekistan,Asia
9.996062992125985,UnitedStates,North America
8.5,Mexico,North America
7.633858267716533,Brazil,South America
7.5,Thailand,Asia
8,New Zealand,Oceania
7.633858267716533,UnitedStates,North America
7.633858267716533,UnitedStates,North America
10,Brazil,South America
11,Spain,Europe
9.208661417322833,UnitedStates,North America
9.208661417322833,Australia,Oceania
10,UnitedStates,North America
7.633858267716533,Germany,Europe
10,UnitedStates,North America
12,Spain,Europe
11.177165354330711,Australia,Oceania
8,Germany,Europe
11.5,Australia,Oceania
6.846456692913385,Peru,South America
7.633858267716533,Canada,North America
5,Brazil,South America
8.421259842519685,UnitedStates,North America
7,Switzerland,Europe
8,Lithuania,Europe
7.633858267716533,Slovakia,Europe
9.208661417322833,UnitedKingdom,Europe
6.846456692913385,UnitedKingdom,Europe
8.421259842519685,UnitedStates,North America
9.996062992125985,Estonia,Europe
7.5,UnitedKingdom,Europe
9.5,UnitedStates,North America
7.240157480314959,Romania,Europe
7.633858267716533,UnitedKingdom,Europe
8.421259842519685,Russia,Asia
12,UnitedStates,North America
8.421259842519685,Sweden,Europe
8.421259842519685,UnitedStates,North America
7.633858267716533,UnitedStates,North America
-4.964566929,UnitedStates,North America
7.633858267716533,Netherlands,Europe
9.208661417322833,Canada,North America
7.633858267716533,Estonia,Europe
13.145669291338585,UnitedStates,North America
10,UnitedStates,North America
10,UnitedStates,North America
7.633858267716533,Australia,Oceania
6.452755905511811,Netherlands,Europe
7.633858267716533,UnitedKingdom,Europe
7.633858267716533,South Africa,Africa
7.633858267716533,China,Asia
8.421259842519685,UnitedKingdom,Europe
5,Israel,Asia
7.633858267716533,Taiwan,Asia
14,UnitedStates,North America
-3.783464567,Germany,Europe
6.5,UnitedKingdom,Europe
8,Denmark,Europe
9.208661417322833,Germany,Europe
11.570866141732282,Brazil,South America
8.421259842519685,Slovakia,Europe
6.5,Ireland,Europe
9.208661417322833,France,Europe
6.846456692913385,Kenya,Africa
10,Iceland,Europe
9,Brazil,South America
11,Sweden,Europe
3,UnitedStates,North America
7.5,France,Europe
8.421259842519685,Angola,Africa
8.421259842519685,France,Europe
6.452755905511811,Russia,Asia
12.35826771653543,Greece,Europe
6.059055118110237,UnitedStates,North America
10.783464566929133,Mexico,North America
7.633858267716533,Latvia,Europe
8.421259842519685,UnitedStates,North America
11,Germany,Europe
11.570866141732282,Denmark,Europe
6.059055118110237,Serbia,Europe
7.633858267716533,Argentina,South America
9,China,Asia
9.208661417322833,Sweden,Europe
7.633858267716533,Australia,Oceania
7.633858267716533,Austria,Europe
9.208661417322833,Argentina,South America
7.240157480314959,Russia,Asia
7.240157480314959,UnitedStates,North America
7.633858267716533,UnitedKingdom,Europe
6.059055118110237,Kenya,Africa
8.421259842519685,UnitedStates,North America
11.570866141732282,Canada,North America
-4.570866142,Japan,Asia
11,UnitedStates,North America
8.5,Denmark,Europe
13.145669291338585,UnitedKingdom,Europe
12.35826771653543,Austria,Europe
11.570866141732282,Spain,Europe
8.421259842519685,Italy,Europe
6,Poland,Europe
6.846456692913385,France,Europe
12.35826771653543,Greece,Europe
7,UnitedStates,North America
7.240157480314959,Switzerland,Europe
9.208661417322833,Netherlands,Europe
11.177165354330711,Australia,Oceania
13.145669291338585,Brazil,South America
7.633858267716533,Netherlands,Europe
10,Brazil,South America
10.5,Canada,North America
6.5,UnitedKingdom,Europe
10,UnitedStates,North America
8.421259842519685,UnitedStates,North America
8,Spain,Europe
9.208661417322833,Croatia,Europe
8.421259842519685,UnitedStates,North America
6.059055118110237,Portugal,Europe
8.421259842519685,Germany,Europe
7.633858267716533,Russia,Asia
67.47637795275591,UnitedStates,North America
12,UnitedStates,North America
9.208661417322833,UnitedStates,North America
6.846456692913385,Malaysia,Asia
7.633858267716533,Spain,Europe
12,Canada,North America
11.570866141732282,Italy,Europe
8,UnitedStates,North America
9.208661417322833,Ukraine,Europe
4,UnitedKingdom,Europe
9,Australia,Oceania
7.5,Philippines,Asia
10.5,UnitedStates,North America
9.996062992125985,France,Europe
3,Philippines,Asia
10,Uganda,Africa
7.633858267716533,Finland,Europe
12,Nepal,Asia
7.633858267716533,Australia,Oceania
7.633858267716533,Germany,Europe
9.208661417322833,UnitedStates,North America
7.633858267716533,UnitedStates,North America
9.208661417322833,UnitedStates,North America
10,UnitedStates,North America
9.208661417322833,Ethiopia,Africa
8.421259842519685,Japan,Asia
7.633858267716533,Egypt,Africa
12,Canada,North America
7.240157480314959,UnitedStates,North America
8.5,UnitedStates,North America
9,India,Asia
9,UnitedKingdom,Europe
8.421259842519685,Hungary,Europe
9.208661417322833,Italy,Europe
10.783464566929133,UnitedKingdom,Europe
12.35826771653543,France,Europe
7.633858267716533,Russia,Asia
12.35826771653543,UnitedKingdom,Europe
8.421259842519685,Belgium,Europe
6.846456692913385,Japan,Asia
9.208661417322833,Israel,Asia
8,Israel,Asia
8.81496063,Netherlands,Europe
6.059055118110237,Argentina,South America
9,Albania,Europe
7.633858267716533,Australia,Oceania
8.421259842519685,Afghanistan,Asia
35.98031496062992,Turkey,Asia
